question,answer
¿Cómo puedo contactarlos?,Puede contactarnos por correo electrónico a contacto@empresa.com o al teléfono 123456789.
¿Cómo actualizo mi producto?,Las actualizaciones se realizan automáticamente si tiene conexión a internet.
¿Tienen descuentos por volumen?,Sí. ofrecemos descuentos progresivos para compras al por mayor.
¿Cómo reporto un error en el sistema?,Envíe un correo a soporte@empresa.com con una captura del error.
¿Dónde están ubicados?,Nuestra sede principal está en Bogotá. Colombia.
¿Cuáles son los horarios de atención?,Nuestro horario de atención es de lunes a viernes de 8:00 a.m. a 6:00 p.m.
¿Tienen servicio a domicilio?,Sí. ofrecemos servicio a domicilio dentro de la ciudad.
¿Qué métodos de pago aceptan?,Aceptamos pagos con tarjeta de crédito. débito. transferencias bancarias y efectivo.
¿Puedo hacer pedidos por WhatsApp?,Sí. puedes hacer pedidos por WhatsApp al número 300 000 0000.
¿Ofrecen garantía en sus productos?,Sí. todos nuestros productos tienen una garantía mínima de 6 meses.
¿Cómo puedo hacer una devolución?,Puedes hacer una devolución presentando tu factura y el producto en buen estado.
¿Tienen tienda física?,Sí. contamos con una tienda física en la zona norte de Bogotá.
¿Puedo cancelar mi pedido después de haberlo realizado?,Sí. siempre que el pedido no haya sido despachado.
¿Qué tiempo tarda en llegar un pedido?,Los pedidos locales se entregan en un plazo de 24 a 48 horas.
¿Ofrecen asesoría gratuita?,Sí. ofrecemos asesoría gratuita para nuestros clientes registrados.
¿Dónde puedo ver su catálogo de productos?,Nuestro catálogo está disponible en nuestra página web.
¿Puedo pagar contraentrega?,Sí. ofrecemos la opción de pago contraentrega en zonas seleccionadas.
¿Cómo puedo registrarme como cliente?,Puedes registrarte en línea llenando el formulario en nuestra web.
¿Sus precios incluyen IVA?,Sí. todos nuestros precios incluyen el IVA.
¿Realizan envíos internacionales?,Por el momento solo hacemos envíos nacionales dentro de Colombia.
¿Cuál es su política de privacidad?,Nuestra política de privacidad está publicada en nuestro sitio web.
